[ubuntuDockerWorker2] => mem: 0.0098 | hdd: 0.8 | timestamp: 1714042130.5923693 
[ubuntuDockerWorker2] => mem: 0.0098 | hdd: 0.8 | timestamp: 1714042131.582138 
[ubuntuDockerWorker2] => mem: 0.0098 | hdd: 0.8 | timestamp: 1714042132.7429004 
[ubuntuDockerWorker2] => mem: 0.0112 | hdd: 0.8 | timestamp: 1714042133.6259778 
[ubuntuDockerWorker2] => mem: 0.014 | hdd: 0.8 | timestamp: 1714042135.0586026 
[ubuntuDockerWorker2] => mem: 0.0364 | hdd: 0.8 | timestamp: 1714042136.7836814 
[ubuntuDockerWorker2] => mem: 0.0467 | hdd: 0.8 | timestamp: 1714042137.6758494 
[ubuntuDockerWorker2] => mem: 0.0559 | hdd: 0.8 | timestamp: 1714042138.829522 
[ubuntuDockerWorker2] => mem: 0.0672 | hdd: 0.8 | timestamp: 1714042139.7756016 
[ubuntuDockerWorker2] => mem: 0.0734 | hdd: 0.8 | timestamp: 1714042140.790018 
[ubuntuDockerWorker3] => mem: 0.0033 | hdd: 0.78 | timestamp: 1714042142.9540846 
[ubuntuDockerWorker2] => mem: 0.0848 | hdd: 0.8 | timestamp: 1714042142.9883137 
[ubuntuDockerWorker3] => mem: 0.0026 | hdd: 0.78 | timestamp: 1714042145.1695917 
[ubuntuDockerWorker1] => mem: 0.006 | hdd: 0.8 | timestamp: 1714042145.220244 
[ubuntuDockerWorker2] => mem: 0.086 | hdd: 0.8 | timestamp: 1714042145.2682931 
[ubuntuDockerWorker3] => mem: 0.0026 | hdd: 0.78 | timestamp: 1714042146.0267737 
[ubuntuDockerWorker1] => mem: 0.0083 | hdd: 0.8 | timestamp: 1714042146.1360934 
[ubuntuDockerWorker2] => mem: 0.0846 | hdd: 0.8 | timestamp: 1714042146.351288 
[ubuntuDockerWorker1] => mem: 0.0083 | hdd: 0.8 | timestamp: 1714042148.021845 
[ubuntuDockerWorker3] => mem: 0.008 | hdd: 0.78 | timestamp: 1714042148.0559573 
[ubuntuDockerWorker2] => mem: 0.0804 | hdd: 0.8 | timestamp: 1714042148.2110534 
[ubuntuDockerWorker3] => mem: 0.019 | hdd: 0.78 | timestamp: 1714042149.172669 
[ubuntuDockerWorker1] => mem: 0.0026 | hdd: 0.8 | timestamp: 1714042149.1999476 
[ubuntuDockerWorker2] => mem: 0.0775 | hdd: 0.8 | timestamp: 1714042149.2715409 
[ubuntuDockerWorker3] => mem: 0.0168 | hdd: 0.78 | timestamp: 1714042151.336931 
[ubuntuDockerWorker1] => mem: 0.0041 | hdd: 0.8 | timestamp: 1714042151.3698885 
[ubuntuDockerWorker2] => mem: 0.0747 | hdd: 0.8 | timestamp: 1714042151.4193027 
[ubuntuDockerWorker3] => mem: 0.0134 | hdd: 0.78 | timestamp: 1714042152.301002 
[ubuntuDockerWorker1] => mem: 0.0093 | hdd: 0.8 | timestamp: 1714042152.3370543 
[ubuntuDockerWorker2] => mem: 0.0719 | hdd: 0.8 | timestamp: 1714042152.366346 
[ubuntuDockerWorker1] => mem: 0.0108 | hdd: 0.8 | timestamp: 1714042153.3373477 
[ubuntuDockerWorker3] => mem: 0.0134 | hdd: 0.78 | timestamp: 1714042153.500304 
[ubuntuDockerWorker2] => mem: 0.074 | hdd: 0.8 | timestamp: 1714042153.6062374 
[ubuntuDockerWorker3] => mem: 0.0036 | hdd: 0.78 | timestamp: 1714042155.3421566 
[ubuntuDockerWorker1] => mem: 0.0024 | hdd: 0.8 | timestamp: 1714042155.3908498 
[ubuntuDockerWorker2] => mem: 0.0758 | hdd: 0.8 | timestamp: 1714042155.4361243 
[ubuntuDockerWorker3] => mem: 0.0022 | hdd: 0.78 | timestamp: 1714042157.332042 
[ubuntuDockerWorker1] => mem: 0.0024 | hdd: 0.8 | timestamp: 1714042157.3773038 
[ubuntuDockerWorker2] => mem: 0.0874 | hdd: 0.8 | timestamp: 1714042157.4245198 
[ubuntuDockerWorker3] => mem: 0.0022 | hdd: 0.78 | timestamp: 1714042158.4293828 
[ubuntuDockerWorker1] => mem: 0.0179 | hdd: 0.8 | timestamp: 1714042158.4946508 
[ubuntuDockerWorker2] => mem: 0.0873 | hdd: 0.8 | timestamp: 1714042158.5423534 
[ubuntuDockerWorker3] => mem: 0.0036 | hdd: 0.78 | timestamp: 1714042160.6730077 
[ubuntuDockerWorker2] => mem: 0.0874 | hdd: 0.8 | timestamp: 1714042160.7076278 
[ubuntuDockerWorker1] => mem: 0.0193 | hdd: 0.8 | timestamp: 1714042160.7490807 
[ubuntuDockerWorker3] => mem: 0.0089 | hdd: 0.78 | timestamp: 1714042161.9218385 
[ubuntuDockerWorker2] => mem: 0.0804 | hdd: 0.8 | timestamp: 1714042161.9912028 
[ubuntuDockerWorker1] => mem: 0.0193 | hdd: 0.8 | timestamp: 1714042162.037806 
[ubuntuDockerWorker3] => mem: 0.01 | hdd: 0.78 | timestamp: 1714042162.9200702 
[ubuntuDockerWorker2] => mem: 0.0719 | hdd: 0.8 | timestamp: 1714042162.9862044 
[ubuntuDockerWorker1] => mem: 0.0193 | hdd: 0.8 | timestamp: 1714042163.0378087 
[ubuntuDockerWorker3] => mem: 0.0245 | hdd: 0.78 | timestamp: 1714042163.9204578 
[ubuntuDockerWorker2] => mem: 0.0662 | hdd: 0.8 | timestamp: 1714042163.9746563 
[ubuntuDockerWorker1] => mem: 0.023 | hdd: 0.8 | timestamp: 1714042164.0128808 
[ubuntuDockerWorker3] => mem: 0.0267 | hdd: 0.78 | timestamp: 1714042165.9736702 
[ubuntuDockerWorker2] => mem: 0.0578 | hdd: 0.8 | timestamp: 1714042166.0372941 
[ubuntuDockerWorker1] => mem: 0.015 | hdd: 0.8 | timestamp: 1714042166.0730844 
[ubuntuDockerWorker3] => mem: 0.0306 | hdd: 0.78 | timestamp: 1714042167.7595882 
[ubuntuDockerWorker1] => mem: 0.015 | hdd: 0.8 | timestamp: 1714042167.8112752 
[ubuntuDockerWorker2] => mem: 0.0408 | hdd: 0.8 | timestamp: 1714042167.9617298 
[ubuntuDockerWorker3] => mem: 0.0375 | hdd: 0.78 | timestamp: 1714042169.9707315 
